id,student_id,group_id,praepostor
530,174,11,
531,175,11,
533,177,11,
534,179,11,
536,181,11,
537,178,11,
538,182,11,
539,183,11,
540,176,11,
542,180,11,
577,217,11,
600,218,14,
601,219,14,
602,220,14,
603,221,14,
604,222,14,
605,223,14,
606,224,14,
607,225,14,
608,226,14,
609,227,14,
610,228,14,
611,229,14,
612,230,14,
613,231,14,
614,232,14,
615,233,14,
616,234,14,
617,235,14,
618,236,14,
619,237,14,
620,238,14,
800,184,12,
801,185,12,
802,186,12,
803,187,12,
804,188,12,
805,189,12,
806,190,12,
807,191,12,
808,192,12,
809,193,12,
810,194,12,
811,195,12,
812,196,12,
813,197,12,
814,198,12,
815,199,12,
816,200,12,
817,201,12,
818,202,12,
819,203,12,
820,204,12,
821,205,12,
822,206,12,
823,207,12,
824,208,12,
825,209,12,
826,210,12,
827,211,12,
828,212,12,
829,213,12,
830,214,12,
831,215,12,
1027,290,17,
1028,291,17,
1029,292,17,
1030,293,17,
1031,294,17,
1032,295,17,
1033,296,17,
1034,297,17,
1035,298,17,
1036,299,17,
1037,300,17,
1038,301,17,
1039,302,17,
1041,304,17,
1043,306,17,
1044,307,17,
1045,308,17,
1046,309,17,
1047,310,17,
1071,262,16,
1072,263,16,
1073,264,16,
1074,265,16,
1075,266,16,
1076,267,16,
1077,268,16,
1078,269,16,
1079,270,16,
1080,271,16,
1081,272,16,
1082,273,16,
1083,274,16,
1084,275,16,
1085,276,16,
1086,277,16,
1087,278,16,
1089,280,16,
1090,281,16,
1091,282,16,
1092,283,16,
1093,284,16,
1094,285,16,
1095,286,16,
1097,288,16,
1559,394,25,
1560,414,25,
1561,395,25,
1562,396,25,
1563,397,25,
1564,398,25,
1565,399,25,
1566,400,25,
1567,401,25,
1568,402,25,
1570,404,25,
1571,405,25,
1572,406,25,
1573,407,25,
1575,410,25,
1576,411,25,
1577,412,25,
1578,413,25,
1579,409,25,
1580,60,25,
1581,61,25,
1582,62,25,
1583,63,25,
1584,64,25,
1585,65,25,
1586,66,25,
1587,67,25,
1588,68,25,
1589,69,25,
1590,70,25,
1591,71,25,
1592,72,25,
1593,73,25,
1594,74,25,
1595,75,25,
1596,76,25,
1597,77,25,
1598,78,25,
1599,79,25,
1600,80,25,
1601,81,25,
1641,23,27,
1642,24,27,
1643,25,27,
1644,26,27,
1645,27,27,
1646,28,27,
1647,29,27,
1648,30,27,
1650,32,27,
1651,33,27,
1652,34,27,
1653,35,27,
1654,36,27,
1655,37,27,
1656,38,27,
1657,39,27,
1658,40,27,
1659,41,27,
1660,42,27,
1661,82,27,
1662,83,27,
1663,84,27,
1665,86,27,
1666,87,27,
1667,88,27,
1668,89,27,
1669,90,27,
1670,91,27,
1671,92,27,
1672,93,27,
1673,94,27,
1674,95,27,
1675,96,27,
1676,97,27,
1677,98,27,
1678,99,27,
1679,100,27,
1680,101,27,
1681,102,28,
1682,122,28,
1683,103,28,
1684,123,28,
1685,104,28,
1686,124,28,
1687,105,28,
1688,125,28,
1689,106,28,
1690,126,28,
1691,107,28,
1692,108,28,
1693,109,28,
1694,127,28,
1695,128,28,
1696,129,28,
1697,130,28,
1698,110,28,
1699,111,28,
1700,131,28,
1701,112,28,
1702,113,28,
1703,132,28,
1704,133,28,
1705,134,28,
1706,114,28,
